px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
7.53291	-5.10938	-2.62671	2.3718	0.661244	7.29446	-5.23429	7.4	-5.3	0.908194	-2.7246	1.42748
7.58742	-5.27549	-2.65111	2.34585	0.598488	7.44737	-5.45308	7.45	-5.45	0.90819	-2.72457	3.1231
7.67911	-5.39362	-2.64087	2.3637	0.582648	7.63082	-5.61863	7.55	-5.55	1.81974	-1.81974	0.747856
7.74598	-5.54246	-2.65617	2.34991	0.536623	7.64356	-5.66706	7.65	-5.65	1.81972	-1.81972	1.59893
7.82392	-5.6491	-2.58874	2.36281	0.51887	7.60376	-5.74774	7.7	-5.8	0.90983	-2.72951	1.12569
7.87535	-5.80758	-2.60189	2.33255	0.460097	7.7342	-5.95374	7.75	-5.95	0.909826	-2.72948	2.54545
7.9993	-5.94872	-2.9005	2.35149	0.461795	7.82165	-6.06822	7.85	-6.1	1.9986	-2.9979	8.71992
8.06155	-6.1046	-2.91776	2.32443	0.411428	7.95703	-6.24328	7.95	-6.25	1.99858	-2.99787	1.8636
8.15332	-6.22345	-2.82924	2.33354	0.395626	8.17338	-6.44684	8.05	-6.35	1.81738	-1.81739	1.52543
8.23257	-6.37004	-2.8386	2.32162	0.361806	8.15891	-6.45335	8.15	-6.45	1.81737	-1.81737	0.776492
8.31235	-6.47952	-2.74616	2.3279	0.346719	8.08628	-6.51855	8.2	-6.6	0.909293	-2.72787	1.27836
8.37142	-6.63811	-2.75555	2.29783	0.297662	8.25411	-6.74791	8.25	-6.75	0.909293	-2.72787	1.6282
8.46009	-6.7552	-2.74819	2.3052	0.288715	8.25648	-6.78122	8.35	-6.85	1.81994	-1.81993	0.463195
8.53038	-6.89665	-2.75084	2.28949	0.257347	8.44494	-6.95805	8.45	-6.95	1.81993	-1.81993	0.694435
8.60276	-6.99867	-2.70288	2.29246	0.246787	8.39359	-7.01743	8.5	-7.1	1.00006	-3.00018	0.640613
8.65249	-7.14349	-2.71365	2.26202	0.204334	8.54925	-7.24433	8.55	-7.25	1.00006	-3.00018	1.30646
8.76642	-7.28162	-2.93649	2.27417	0.210917	8.64403	-7.39047	8.65	-7.4	1.99807	-2.99712	5.16276
8.82515	-7.43667	-2.95156	2.24403	0.170386	8.73559	-7.5421	8.75	-7.55	1.99808	-2.99712	1.20112
8.88519	-7.54537	-2.72047	2.23409	0.145411	8.87176	-7.71912	8.8	-7.65	0.909955	-1.8199	5.96593
8.94221	-7.69389	-2.72463	2.2085	0.112001	8.84538	-7.75497	8.85	-7.75	0.909946	-1.81988	0.818945
9.02211	-7.81334	-2.76602	2.20963	0.108571	8.88333	-7.88636	8.9	-7.9	0.999086	-2.9973	0.386371
9.06565	-7.96073	-2.7752	2.17692	0.0706972	8.95966	-8.0381	8.95	-8.05	0.999095	-2.9973	1.07536
9.10291	-8.05866	-2.53367	2.15935	0.0429361	8.8564	-8.01424	9	-8.15	0.909309	-1.8186	6.04558
9.14888	-8.19873	-2.53727	2.1334	0.0149661	9.05896	-8.24314	9.05	-8.25	0.909301	-1.81859	0.620141
9.22876	-8.32586	-2.64534	2.13541	0.0191767	9.17781	-8.47056	9.1	-8.4	1.0004	-3.00119	1.23173
9.26049	-8.47257	-2.65857	2.09876	-0.0178544	9.15332	-8.54857	9.15	-8.55	1.00038	-3.00117	1.07113
9.30188	-8.58401	-2.49244	2.07891	-0.0423062	9.22922	-8.6898	9.2	-8.65	0.909508	-1.819	3.08657
9.33684	-8.7268	-2.49906	2.04842	-0.0699222	9.24541	-8.76863	9.25	-8.75	0.9095	-1.81899	0.619556
9.47503	-8.90917	-3.03895	2.08694	-0.00885424	9.37748	-9.00609	9.35	-8.95	1.99965	-3.99928	30.2787
9.51933	-9.07392	-3.06141	2.05487	-0.0399365	9.44703	-9.15328	9.45	-9.15	1.99964	-3.99928	0.725746
9.5551	-9.19092	-2.87995	2.03022	-0.0702856	9.50096	-9.25642	9.5	-9.25	0.999584	-1.99917	3.79368
9.59877	-9.33274	-2.88467	2.00999	-0.0867738	9.54157	-9.35195	9.55	-9.35	0.999584	-1.99917	0.222788
9.63232	-9.44856	-2.76407	1.98911	-0.108308	9.47534	-9.42627	9.55	-9.5	0	-3.00023	1.82967
9.65068	-9.60189	-2.77956	1.95133	-0.140149	9.54779	-9.64959	9.55	-9.65	0	-3.0002	0.799076
9.71456	-9.7469	-2.86715	1.95086	-0.12966	9.69942	-9.88416	9.6	-9.8	0.999005	-2.997	0.940322
9.73558	-9.90098	-2.87991	1.91799	-0.155554	9.64606	-9.9341	9.65	-9.95	0.998995	-2.997	0.560969
9.75184	-10.0265	-2.70552	1.88458	-0.189248	9.60087	-9.96395	9.7	-10.05	0.909855	-1.81969	3.67116
9.78501	-10.1657	-2.69654	1.86783	-0.195471	9.73801	-10.1396	9.75	-10.15	0.909847	-1.81969	0.155338
9.82598	-10.3006	-2.69867	1.85677	-0.197377	9.92627	-10.4745	9.75	-10.3	0	-3.00065	0.462922
9.83498	-10.4474	-2.71293	1.82415	-0.219507	9.75524	-10.4732	9.75	-10.45	0	-3.00063	0.43181
9.87661	-10.5976	-2.77512	1.81886	-0.208427	9.71825	-10.5087	9.8	-10.6	0.90817	-2.72451	0.951462
9.89755	-10.7517	-2.77889	1.79601	-0.219474	9.85048	-10.7526	9.85	-10.75	0.908161	-2.72448	0.130943
9.90799	-10.8851	-2.65786	1.76459	-0.246495	9.88465	-10.9383	9.85	-10.9	0	-2.73074	1.82577
9.90996	-11.0384	-2.66623	1.73269	-0.264262	9.83614	-11.041	9.85	-11.05	0	-2.73073	0.325212
9.92877	-11.1715	-2.67763	1.71912	-0.26367	9.83952	-11.1692	9.85	-11.2	0	-2.99965	0.0844661
9.91981	-11.3211	-2.69917	1.68417	-0.284696	9.84568	-11.3496	9.85	-11.35	0	-2.99961	0.39322
9.93471	-11.4616	-2.72101	1.67045	-0.282922	9.87961	-11.5637	9.85	-11.5	0	-2.99843	0.113867
9.91724	-11.6123	-2.7416	1.6338	-0.304661	9.83206	-11.6307	9.85	-11.65	0	-2.99843	0.462954
9.86591	-11.709	-2.45339	1.55637	-0.393165	9.85311	-11.8523	9.8	-11.75	-1.0003	-2.00061	14.1683
9.83502	-11.8419	-2.46946	1.51668	-0.412436	9.74928	-11.8442	9.75	-11.85	-1.00029	-2.00059	0.43347
9.82212	-11.9647	-2.46971	1.49295	-0.415377	9.69694	-11.9706	9.7	-12	-1.0004	-3.00119	0.113653
9.76997	-12.111	-2.51166	1.4414	-0.444853	9.65354	-12.1497	9.65	-12.15	-1.00039	-3.00116	0.922273
9.72223	-12.22	-2.38981	1.38026	-0.499742	9.72311	-12.3964	9.6	-12.25	-0.999885	-1.99981	4.19011
9.66236	-12.3489	-2.41735	1.32997	-0.523776	9.54859	-12.3478	9.55	-12.35	-0.999884	-1.99979	0.754625
9.57603	-12.4303	-2.22877	1.23267	-0.621477	9.39039	-12.3902	9.45	-12.45	-1.99803	-1.99805	10.3852
9.4953	-12.5493	-2.2687	1.17221	-0.64903	9.36086	-12.5501	9.35	-12.55	-1.99804	-1.99804	1.05444
9.43399	-12.6603	-2.25094	1.12316	-0.666583	9.34456	-12.7106	9.3	-12.65	-0.909773	-1.81953	0.278956
9.34156	-12.7789	-2.28547	1.06152	-0.689756	9.22134	-12.7613	9.25	-12.75	-0.909773	-1.81954	0.8457
9.20318	-12.8392	-2.11536	0.904207	-0.85794	9.15326	-13.0031	9.05	-12.85	-3.99257	-1.99629	22.5968
9.06412	-12.946	-2.21246	0.815858	-0.898873	8.84161	-12.9519	8.85	-12.95	-3.99253	-1.99627	2.91793
8.93179	-13.0181	-2.20263	0.70425	-0.980698	8.71632	-12.9613	8.75	-13	-1.8213	-0.910651	4.19882
8.79869	-13.0948	-2.24472	0.625733	-1.00261	8.66358	-13.0431	8.65	-13.05	-1.8213	-0.910651	1.16095
8.65147	-13.1463	-2.28543	0.503401	-1.09912	8.54518	-13.1702	8.5	-13.1	-2.997	-0.999005	5.39186
8.50643	-13.2017	-2.34595	0.424706	-1.11898	8.35763	-13.1557	8.35	-13.15	-2.997	-0.998995	1.35937
8.31139	-13.2315	-2.4668	0.269833	-1.24448	8.22926	-13.1698	8.2	-13.15	-2.72741	0	9.11133
8.15082	-13.2502	-2.49503	0.181551	-1.26159	8.03583	-13.1513	8.05	-13.15	-2.72742	0	1.22708
7.98602	-13.2557	-2.55455	0.0808511	-1.30144	7.82914	-13.0525	7.9	-13.15	-2.72986	0	1.54478
7.83142	-13.2481	-2.56602	-0.00380872	-1.31292	7.76538	-13.1647	7.75	-13.15	-2.72986	0	0.597798
7.76693	-13.268	-2.35728	-0.00745835	-1.22359	7.66146	-13.3079	7.6	-13.2	-2.9979	-0.999304	7.42144
7.60254	-13.2712	-2.44589	-0.0723702	-1.22178	7.44786	-13.2517	7.45	-13.25	-2.9979	-0.999304	1.39534
7.46057	-13.2504	-2.45492	-0.144722	-1.22516	7.21108	-13.0985	7.3	-13.25	-2.72846	0	0.853148
7.28672	-13.2373	-2.53552	-0.207178	-1.21635	7.16011	-13.2382	7.15	-13.25	-2.72844	0	0.9452
7.12158	-13.1778	-2.68949	-0.303448	-1.26517	6.88472	-12.9588	7	-13.2	-2.99784	0.999284	4.0322
6.95849	-13.1443	-2.75787	-0.357541	-1.25318	6.84891	-13.1493	6.85	-13.15	-2.99784	0.999284	0.713508
6.8246	-13.0982	-2.72312	-0.416148	-1.23958	6.77424	-13.2337	6.7	-13.1	-2.72787	0.909275	0.349362
6.65475	-13.0475	-2.78513	-0.469056	-1.2226	6.55759	-13.0679	6.55	-13.05	-2.72787	0.909284	0.602886
6.56735	-13.0201	-2.49858	-0.498319	-1.16076	6.40137	-13.0799	6.4	-13.05	-2.72678	0	9.33588
6.39463	-12.9815	-2.58256	-0.528556	-1.12639	6.26174	-13.0534	6.25	-13.05	-2.72678	0	1.43264
6.2833	-12.9252	-2.49358	-0.576259	-1.10505	6.10143	-13.0076	6.1	-13	-2.72966	0.909888	1.22984
6.10476	-12.8801	-2.58552	-0.595512	-1.06352	5.94198	-12.9494	5.95	-12.95	-2.72963	0.90988	1.96965
