px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
66.3246	23.9881	3.6211	0.254496	0.0236576	66.3403	23.9959	66.0431	24.0276	2.37349	0.508655	0.600606
66.2132	23.9542	2.61627	0.260168	-0.0141148	65.8838	23.9541	66.0431	24.0276	2.37349	0.508655	3.0396
68.2633	24.3593	2.53838	0.207221	-0.0387087	68.262	24.3582	68.4273	24.4824	2.30293	0.385623	0.0062344
68.3505	24.3908	2.6637	0.215364	-0.0330649	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623	1.98619
70.8198	24.8815	3.1026	0.22262	-0.00715215	70.8275	24.8844	70.7384	24.8137	2.22347	0.265395	0.129094
70.778	24.8649	2.48923	0.210666	-0.0416256	70.7403	24.6728	70.7384	24.8137	2.22347	0.265395	0.677041
72.8918	24.7198	2.48749	-0.149738	-0.241217	72.8923	24.7135	72.9675	25.025	2.13584	0.150292	0.133759
72.9412	24.7367	2.51926	-0.148959	-0.247861	73.0732	25.0343	72.9675	25.025	2.13584	0.150292	0.679222
75	25.2454	2.21956	0.327704	0.20127	75.0021	25.2595	75.1062	25.1224	2.04114	0.0423626	0.782101
74.9857	25.2426	2.15893	0.325477	0.200742	74.9748	25.1377	75.1062	25.1224	2.04114	0.0423626	0.0390167
77.1138	24.9479	2.28759	-0.370407	-0.356862	77.1225	24.9297	77.1475	25.1137	1.9408	-0.0566978	1.0351
77.137	24.9532	2.23841	-0.395434	-0.39164	77.1386	25.2948	77.1475	25.1137	1.9408	-0.0566978	0.184124
79.098	25.0158	1.88771	0.080908	0.160675	79.1089	25.0369	79.0861	25.0086	1.83649	-0.145607	1.4302
79.1086	25.019	1.90138	0.0855924	0.163808	79.1718	24.9698	79.0861	25.0086	1.83649	-0.145607	0.0290693
80.8048	24.8751	2.05313	-0.0350355	-0.0121135	80.8074	24.8688	80.9183	24.8178	1.73008	-0.223536	0.112021
80.8483	24.8815	1.80423	-0.0793858	-0.091498	81.1423	24.8704	80.9183	24.8178	1.73008	-0.223536	1.22837
82.6112	24.6372	2.33973	-0.102903	-0.0481362	82.6216	24.6393	82.6423	24.5525	1.6235	-0.29012	0.15682
82.5668	24.6198	1.96006	-0.205774	-0.226403	82.5085	24.8114	82.6423	24.5525	1.6235	-0.29012	0.705883
84.1688	24.5413	1.96959	-0.0125816	0.025988	84.1733	24.5504	84.2584	24.2245	1.51869	-0.345444	0.25262
84.1595	24.5448	1.79312	-0.0360539	-0.0267437	84.2898	24.3312	84.2584	24.2245	1.51869	-0.345444	0.2189
85.6387	23.8193	1.86172	-0.530871	-0.309897	85.6378	23.808	85.7688	23.8451	1.41749	-0.390006	0.281587
85.6968	23.8352	1.96225	-0.510345	-0.294004	85.9743	23.7547	85.7688	23.8451	1.41749	-0.390006	0.841421
86.9447	23.5101	1.24078	-0.290953	0.00988469	86.9449	23.527	87.1776	23.4252	1.32159	-0.424654	0.641367
87.065	23.5437	1.37709	-0.231129	0.0435034	87.6171	23.5127	87.1776	23.4252	1.32159	-0.424654	3.78284
88.8021	22.7947	2.60668	-0.433906	-0.105505	88.8227	22.7869	88.4904	22.9745	1.23248	-0.450514	0.769811
88.712	22.7514	2.32271	-0.679417	-0.419625	88.4191	22.9498	88.4904	22.9745	1.23248	-0.450514	1.5217
89.514	22.2805	0.397135	-0.719268	-0.215607	89.4967	22.3082	89.7145	22.5017	1.15138	-0.468904	1.81104
89.6259	22.2529	0.944899	-0.639096	-0.0747326	89.7821	22.4826	89.7145	22.5017	1.15138	-0.468904	2.94025
90.497	21.6622	1.4517	-0.464621	0.0818703	90.5133	21.6677	90.858	22.0141	1.07929	-0.481241	0.234085
90.5673	21.6784	1.48766	-0.417013	0.0807299	90.8419	22.0974	90.858	22.0141	1.07929	-0.481241	1.77504
91.7129	21.1135	1.66502	-0.255535	0.126686	91.7178	21.1152	91.9302	21.5174	1.01698	-0.488964	0.0296731
91.7397	21.1273	1.44563	-0.399487	-0.0995294	92.0492	21.5289	91.9302	21.5174	1.01698	-0.488964	2.63429
92.8538	20.9419	1.40049	-0.0709878	0.153593	92.8599	20.9537	92.9411	21.016	0.964993	-0.493443	0.25837
92.9006	20.9694	1.16995	-0.0387037	0.114202	93.3186	21.0712	92.9411	21.016	0.964993	-0.493443	2.79306
93.4831	20.2465	0.499258	-0.765019	-0.38089	93.4668	20.2155	93.9011	20.513	0.92369	-0.495919	1.18445
93.584	20.288	1.02248	-0.576277	-0.146942	93.7423	20.5071	93.9011	20.513	0.92369	-0.495919	2.15694
95.2741	19.6456	2.79085	0.0952462	0.329122	95.3229	19.6585	94.8209	20.01	0.893308	-0.497439	2.49888
95.0284	19.6558	1.53607	-0.028024	0.166304	94.494	19.8854	94.8209	20.01	0.893308	-0.497439	10.2181
95.5216	19.7	0.566113	0.191412	0.195094	95.5039	19.6984	95.7116	19.5078	0.87398	-0.498816	0.499284
95.5451	19.7027	0.785959	0.189312	0.196827	95.6097	19.5804	95.7116	19.5078	0.87398	-0.498816	0.137047
96.2535	19.2178	0.742853	-0.829438	-0.502688	96.2641	19.1597	96.5842	19.0065	0.865773	-0.500589	1.88765
96.3093	19.2545	1.03059	-0.622893	-0.297577	96.559	18.8688	96.5842	19.0065	0.865773	-0.500589	0.876264
97.4945	18.713	1.9728	-0.223613	0.093673	97.5286	18.727	97.45	18.506	0.868716	-0.503009	1.16841
97.4035	18.7118	1.5526	-0.42062	-0.202546	97.5333	18.1735	97.45	18.506	0.868716	-0.503009	1.69498
98.2152	18.3659	1.06054	-0.353132	-0.0558716	98.2105	18.3739	98.3198	18.0049	0.882805	-0.506023	0.166447
98.2347	18.3736	1.01704	-0.366535	-0.0882038	98.4162	18.1556	98.3198	18.0049	0.882805	-0.506023	0.284203
99.0392	17.3817	1.48564	-1.12427	-0.475212	99.0363	17.357	99.2049	17.503	0.908006	-0.509278	0.650168
99.0517	17.4248	1.46903	-0.760663	-0.0437121	98.9782	17.2949	99.2049	17.503	0.908006	-0.509278	0.892252
99.9817	16.964	0.992867	-0.413241	0.189049	99.9969	16.9882	100.117	17.0001	0.944242	-0.512134	0.629613
100.062	16.978	1.04432	-0.354843	0.217576	100.441	16.9521	100.117	17.0001	0.944242	-0.512134	1.83711
101.191	16.5371	1.68514	-0.144898	0.211904	101.204	16.5368	101.065	16.497	0.991362	-0.513687	0.198815
101.14	16.5264	1.32643	-0.28287	0.0472812	101.169	16.4353	101.065	16.497	0.991362	-0.513687	0.74655
102.375	16.3912	1.74762	0.0962618	0.233902	102.387	16.3992	102.063	15.9949	1.04911	-0.512803	0.232521
102.268	16.3838	1.22693	0.0810171	0.211647	102.081	15.8359	102.063	15.9949	1.04911	-0.512803	1.90683
